dataset,repetition,seed,fold,model,train_rows,test_rows,accuracy,balanced_accuracy,precision,recall,f1,macro_f1
factors_finance,4,44,3,text_only,418,104,0.6153846153846154,0.6153846153846154,0.6,0.6923076923076923,0.6428571428571429,0.6130952380952381
factors_finance,4,44,3,emotion_aware,418,104,0.625,0.625,0.6140350877192983,0.6730769230769231,0.6422018348623854,0.6241312204614957
factors_finance,4,44,4,text_only,418,104,0.6153846153846154,0.6153846153846154,0.625,0.5769230769230769,0.6,0.6148148148148148
factors_finance,4,44,4,emotion_aware,418,104,0.6153846153846154,0.6153846153846154,0.6578947368421053,0.4807692307692308,0.5555555555555556,0.608286252354049
factors_finance,4,44,5,text_only,418,104,0.6442307692307693,0.6442307692307692,0.6666666666666666,0.5769230769230769,0.6185567010309279,0.6426116838487972
factors_finance,4,44,5,emotion_aware,418,104,0.6153846153846154,0.6153846153846154,0.6304347826086957,0.5576923076923077,0.5918367346938775,0.6141001855287569
factors_finance,5,55,1,text_only,416,106,0.5188679245283019,0.5188679245283019,0.5192307692307693,0.5094339622641509,0.5142857142857142,0.5188251001335114
factors_finance,5,55,1,emotion_aware,416,106,0.5660377358490566,0.5660377358490566,0.574468085106383,0.5094339622641509,0.54,0.5646428571428572
factors_finance,5,55,2,text_only,418,104,0.5865384615384616,0.5865384615384616,0.5818181818181818,0.6153846153846154,0.5981308411214953,0.5861941334320347
factors_finance,5,55,2,emotion_aware,418,104,0.6442307692307693,0.6442307692307692,0.6595744680851063,0.5961538461538461,0.6262626262626263,0.6434065424891113
factors_finance,5,55,3,text_only,418,104,0.6538461538461539,0.6538461538461539,0.6739130434782609,0.5961538461538461,0.6326530612244898,0.6526901669758813
factors_finance,5,55,3,emotion_aware,418,104,0.6923076923076923,0.6923076923076923,0.7083333333333334,0.6538461538461539,0.68,0.6918518518518519
factors_finance,5,55,4,text_only,418,104,0.6730769230769231,0.6730769230769231,0.7045454545454546,0.5961538461538461,0.6458333333333334,0.6711309523809523
factors_finance,5,55,4,emotion_aware,418,104,0.6153846153846154,0.6153846153846154,0.62,0.5961538461538461,0.6078431372549019,0.6152423233444321
factors_finance,5,55,5,text_only,418,104,0.625,0.625,0.6274509803921569,0.6153846153846154,0.6213592233009708,0.6249653259361997
factors_finance,5,55,5,emotion_aware,418,104,0.6346153846153846,0.6346153846153846,0.6666666666666666,0.5384615384615384,0.5957446808510638,0.6312056737588652
factors_finance,6,66,1,text_only,416,106,0.5849056603773585,0.5849056603773585,0.5789473684210527,0.6226415094339622,0.6,0.584313725490196
factors_finance,6,66,1,emotion_aware,416,106,0.6415094339622641,0.6415094339622641,0.6470588235294118,0.6226415094339622,0.6346153846153846,0.6413817663817664
factors_finance,6,66,2,text_only,418,104,0.5865384615384616,0.5865384615384616,0.576271186440678,0.6538461538461539,0.6126126126126126,0.5846568217702238
factors_finance,6,66,2,emotion_aware,418,104,0.6153846153846154,0.6153846153846154,0.6363636363636364,0.5384615384615384,0.5833333333333334,0.6130952380952381
factors_finance,6,66,3,text_only,418,104,0.6442307692307693,0.6442307692307693,0.6923076923076923,0.5192307692307693,0.5934065934065934,0.6385836385836385
factors_finance,6,66,3,emotion_aware,418,104,0.5673076923076923,0.5673076923076923,0.5777777777777777,0.5,0.5360824742268041,0.5653385344106994
