dataset,repetition,seed,model,scope,subset,manipulation_category,rows,misleading_recall,mean_probability_misleading
factors_finance,3,33,text_only,category,all,sentiment,206,0.4174757281553398,0.48267196357539555
factors_finance,3,33,emotion_aware,overall,all,all,1123,0.4666073018699911,0.48494991147932154
factors_finance,3,33,emotion_aware,overall_non_sentiment,all,non_sentiment,917,0.42857142857142855,0.4772307306625591
factors_finance,3,33,emotion_aware,subset,hard_case,all,123,0.5934959349593496,0.5039439501801157
factors_finance,3,33,emotion_aware,subset,main,all,1000,0.451,0.4826136447191238
factors_finance,3,33,emotion_aware,category,all,causal,231,0.5411255411255411,0.5012749900549521
factors_finance,3,33,emotion_aware,category,all,flipping,313,0.19488817891373802,0.42145660491035386
factors_finance,3,33,emotion_aware,category,all,numerical,373,0.5549597855227882,0.509142466428772
factors_finance,3,33,emotion_aware,category,all,sentiment,206,0.6359223300970874,0.5193115076393757
factors_finance,4,44,text_only,overall,all,all,1123,0.18521816562778273,0.44549736306270316
factors_finance,4,44,text_only,overall_non_sentiment,all,non_sentiment,917,0.18974918211559433,0.4458891891731171
factors_finance,4,44,text_only,subset,hard_case,all,123,0.15447154471544716,0.4398429582758648
factors_finance,4,44,text_only,subset,main,all,1000,0.189,0.4461928548514843
factors_finance,4,44,text_only,category,all,causal,231,0.18181818181818182,0.44467864524234424
factors_finance,4,44,text_only,category,all,flipping,313,0.1597444089456869,0.4443451699357444
factors_finance,4,44,text_only,category,all,numerical,373,0.21983914209115282,0.44793453413104245
factors_finance,4,44,text_only,category,all,sentiment,206,0.1650485436893204,0.4437531662508122
factors_finance,4,44,emotion_aware,overall,all,all,1123,0.5841495992876224,0.5324879165403777
factors_finance,4,44,emotion_aware,overall_non_sentiment,all,non_sentiment,917,0.5419847328244275,0.5205535733972797
factors_finance,4,44,emotion_aware,subset,hard_case,all,123,0.6341463414634146,0.5405281067379122
factors_finance,4,44,emotion_aware,subset,main,all,1000,0.578,0.531498973146081
factors_finance,4,44,emotion_aware,category,all,causal,231,0.6623376623376623,0.5397781657450127
factors_finance,4,44,emotion_aware,category,all,flipping,313,0.34824281150159747,0.47700022099117123
factors_finance,4,44,emotion_aware,category,all,numerical,373,0.6300268096514745,0.5451951778765978
factors_finance,4,44,emotion_aware,category,all,sentiment,206,0.7718446601941747,0.5856131236385373
factors_finance,5,55,text_only,overall,all,all,1123,0.19946571682991987,0.40073665366147315
factors_finance,5,55,text_only,overall_non_sentiment,all,non_sentiment,917,0.1875681570338059,0.39794815056261607
factors_finance,5,55,text_only,subset,hard_case,all,123,0.24390243902439024,0.3998141415962359
factors_finance,5,55,text_only,subset,main,all,1000,0.194,0.4008501226454973
factors_finance,5,55,text_only,category,all,causal,231,0.15584415584415584,0.38968386523651355
factors_finance,5,55,text_only,category,all,flipping,313,0.11182108626198083,0.3655014904067158
factors_finance,5,55,text_only,category,all,numerical,373,0.2707774798927614,0.4302936050911052
factors_finance,5,55,text_only,category,all,sentiment,206,0.2524271844660194,0.41314955337823017
factors_finance,5,55,emotion_aware,overall,all,all,1123,0.3107747105966162,0.4537802347888505
factors_finance,5,55,emotion_aware,overall_non_sentiment,all,non_sentiment,917,0.27262813522355506,0.444494994867069
factors_finance,5,55,emotion_aware,subset,hard_case,all,123,0.43089430894308944,0.4775909020648739
factors_finance,5,55,emotion_aware,subset,main,all,1000,0.296,0.4508515227138996
factors_finance,5,55,emotion_aware,category,all,causal,231,0.2943722943722944,0.456770711775982
factors_finance,5,55,emotion_aware,category,all,flipping,313,0.14057507987220447,0.4023550803097673
factors_finance,5,55,emotion_aware,category,all,numerical,373,0.3699731903485255,0.47225398320614814
factors_finance,5,55,emotion_aware,category,all,sentiment,206,0.48058252427184467,0.49511307463483906
factors_finance,6,66,text_only,overall,all,all,1123,0.7791629563668745,0.5613995905657061
factors_finance,6,66,text_only,overall_non_sentiment,all,non_sentiment,917,0.7742639040348964,0.5608481904867562
factors_finance,6,66,text_only,subset,hard_case,all,123,0.7804878048780488,0.5620850688073693
factors_finance,6,66,text_only,subset,main,all,1000,0.779,0.5613152767419816
factors_finance,6,66,text_only,category,all,causal,231,0.8744588744588745,0.5710805587438278
factors_finance,6,66,text_only,category,all,flipping,313,0.5718849840255591,0.5201409159186549
factors_finance,6,66,text_only,category,all,numerical,373,0.8820375335120644,0.5886704421554749
factors_finance,6,66,text_only,category,all,sentiment,206,0.8009708737864077,0.5638541239268572
factors_finance,6,66,emotion_aware,overall,all,all,1123,0.40694568121104185,0.48570970956066944
factors_finance,6,66,emotion_aware,overall_non_sentiment,all,non_sentiment,917,0.40676117775354415,0.4857573882314085
factors_finance,6,66,emotion_aware,subset,hard_case,all,123,0.42276422764227645,0.4962753946703624
factors_finance,6,66,emotion_aware,subset,main,all,1000,0.405,0.4844101302921772
factors_finance,6,66,emotion_aware,category,all,causal,231,0.36363636363636365,0.48300697702866097
factors_finance,6,66,emotion_aware,category,all,flipping,313,0.30990415335463256,0.4628771450192022
factors_finance,6,66,emotion_aware,category,all,numerical,373,0.514745308310992,0.5066605011355781
factors_finance,6,66,emotion_aware,category,all,sentiment,206,0.4077669902912621,0.4854974700409232
factors_finance,7,77,text_only,overall,all,all,1123,0.5627782724844167,0.511430284378259
factors_finance,7,77,text_only,overall_non_sentiment,all,non_sentiment,917,0.5343511450381679,0.5064168325752313
factors_finance,7,77,text_only,subset,hard_case,all,123,0.6585365853658537,0.5267873702010488
factors_finance,7,77,text_only,subset,main,all,1000,0.551,0.5095413628220559
factors_finance,7,77,text_only,category,all,causal,231,0.683982683982684,0.5286036451141556
factors_finance,7,77,text_only,category,all,flipping,313,0.31629392971246006,0.4623021831908546
factors_finance,7,77,text_only,category,all,numerical,373,0.6246648793565683,0.5296949332744763
factors_finance,7,77,text_only,category,all,sentiment,206,0.6893203883495146,0.5337474460451348
factors_finance,7,77,emotion_aware,overall,all,all,1123,0.7186108637577916,0.5654963468693244
factors_finance,7,77,emotion_aware,overall_non_sentiment,all,non_sentiment,917,0.6793893129770993,0.5550251346540555
factors_finance,7,77,emotion_aware,subset,hard_case,all,123,0.8048780487804879,0.5838792966148718
factors_finance,7,77,emotion_aware,subset,main,all,1000,0.708,0.563235244050622
factors_finance,7,77,emotion_aware,category,all,causal,231,0.8181818181818182,0.5990157840829907
factors_finance,7,77,emotion_aware,category,all,flipping,313,0.41533546325878595,0.4828105848342085
factors_finance,7,77,emotion_aware,category,all,numerical,373,0.8150134048257373,0.5883798640790637
factors_finance,7,77,emotion_aware,category,all,sentiment,206,0.8932038834951457,0.6121084905654481
factors_finance,8,88,text_only,overall,all,all,1123,0.6767586821015138,0.5890630551166866
factors_finance,8,88,text_only,overall_non_sentiment,all,non_sentiment,917,0.6314067611777535,0.5692235939407817
factors_finance,8,88,text_only,subset,hard_case,all,123,0.7479674796747967,0.6130606738047871
factors_finance,8,88,text_only,subset,main,all,1000,0.668,0.5861113480180502
factors_finance,8,88,text_only,category,all,causal,231,0.7965367965367965,0.6309987582685628
factors_finance,8,88,text_only,category,all,flipping,313,0.36741214057507987,0.4665533076174343
factors_finance,8,88,text_only,category,all,numerical,373,0.7506702412868632,0.61712101125845
factors_finance,8,88,text_only,category,all,sentiment,206,0.8786407766990292,0.6773775497686516
factors_finance,8,88,emotion_aware,overall,all,all,1123,0.6999109528049866,0.588826264744875
factors_finance,8,88,emotion_aware,overall_non_sentiment,all,non_sentiment,917,0.697928026172301,0.586834984751278
factors_finance,8,88,emotion_aware,subset,hard_case,all,123,0.6747967479674797,0.580784429379595
factors_finance,8,88,emotion_aware,subset,main,all,1000,0.703,0.5898154104948043
factors_finance,8,88,emotion_aware,category,all,causal,231,0.6017316017316018,0.5569349373831893
factors_finance,8,88,emotion_aware,category,all,flipping,313,0.6613418530351438,0.5803588456429613
factors_finance,8,88,emotion_aware,category,all,numerical,373,0.7882037533512064,0.6107865731773683
factors_finance,8,88,emotion_aware,category,all,sentiment,206,0.7087378640776699,0.5976903606387018
factors_finance,9,99,text_only,overall,all,all,1123,0.6126447016918967,0.5400443540443189
factors_finance,9,99,text_only,overall_non_sentiment,all,non_sentiment,917,0.5736095965103599,0.523483271589716
factors_finance,9,99,text_only,subset,hard_case,all,123,0.6829268292682927,0.5720057463258262
factors_finance,9,99,text_only,subset,main,all,1000,0.604,0.5361131027936935
factors_finance,9,99,text_only,category,all,causal,231,0.7359307359307359,0.5722640897288467
factors_finance,9,99,text_only,category,all,flipping,313,0.2523961661341853,0.3966490717265553
factors_finance,9,99,text_only,category,all,numerical,373,0.7426273458445041,0.5997050827613785
factors_finance,9,99,text_only,category,all,sentiment,206,0.7864077669902912,0.6137652890485468
factors_finance,9,99,emotion_aware,overall,all,all,1123,0.39893143365983974,0.4632433288111181
factors_finance,9,99,emotion_aware,overall_non_sentiment,all,non_sentiment,917,0.3685932388222465,0.45534303415497623
factors_finance,9,99,emotion_aware,subset,hard_case,all,123,0.4634146341463415,0.47679027987689504
factors_finance,9,99,emotion_aware,subset,main,all,1000,0.391,0.46157705383002756
factors_finance,9,99,emotion_aware,category,all,causal,231,0.5021645021645021,0.47445202415639703
