dataset,repetition,outer_seed,outer_fold,model,train_rows,test_rows,ngram_range,min_df,C,affect_weight,accuracy,balanced_accuracy,precision,recall,f1,macro_f1
liar2_finance,9,99,5,text_only,1640,408,1-2,1,10.0,,0.6642156862745098,0.6642156862745098,0.675392670157068,0.6323529411764706,0.6531645569620254,0.6638744400012027
liar2_finance,9,99,5,emotion_aware,1640,408,1-2,1,10.0,0.1,0.6740196078431373,0.6740196078431373,0.6802030456852792,0.6568627450980392,0.6683291770573566,0.6739236246732566
liar2_finance,10,110,1,text_only,1638,410,1-2,1,1.0,,0.6609756097560976,0.6609756097560976,0.6586538461538461,0.6682926829268293,0.6634382566585957,0.6609574575676271
liar2_finance,10,110,1,emotion_aware,1638,410,1-2,1,1.0,0.1,0.6219512195121951,0.6219512195121951,0.6225490196078431,0.6195121951219512,0.6210268948655256,0.6219489705471181
liar2_finance,10,110,2,text_only,1638,410,1-2,1,1.0,,0.6390243902439025,0.6390243902439025,0.6432160804020101,0.624390243902439,0.6336633663366337,0.6389470677837015
liar2_finance,10,110,2,emotion_aware,1638,410,1-2,1,1.0,0.05,0.6658536585365854,0.6658536585365853,0.673469387755102,0.6439024390243903,0.6583541147132169,0.6656925704831
liar2_finance,10,110,3,text_only,1638,410,1-2,1,10.0,,0.6463414634146342,0.6463414634146342,0.654639175257732,0.6195121951219512,0.6365914786967418,0.6460867132201049
liar2_finance,10,110,3,emotion_aware,1638,410,1-2,1,10.0,1.0,0.6487804878048781,0.6487804878048781,0.6580310880829016,0.6195121951219512,0.6381909547738693,0.6484793636428589
liar2_finance,10,110,4,text_only,1638,410,1-2,2,0.1,,0.6585365853658537,0.6585365853658536,0.6836158192090396,0.5902439024390244,0.6335078534031413,0.6569365751033971
liar2_finance,10,110,4,emotion_aware,1638,410,1-2,2,1.0,0.05,0.6731707317073171,0.673170731707317,0.6898395721925134,0.6292682926829268,0.6581632653061225,0.6725395765782949
liar2_finance,10,110,5,text_only,1640,408,1-2,2,0.1,,0.5955882352941176,0.5955882352941176,0.5979899497487438,0.5833333333333334,0.5905707196029777,0.5955274905520942
liar2_finance,10,110,5,emotion_aware,1640,408,1-2,1,1.0,0.1,0.6446078431372549,0.6446078431372549,0.664804469273743,0.5833333333333334,0.6214099216710183,0.6432684712281188
factors_finance,1,11,1,text_only,416,106,1-1,1,0.1,,0.6132075471698113,0.6132075471698113,0.625,0.5660377358490566,0.594059405940594,0.6123450182856123
factors_finance,1,11,1,emotion_aware,416,106,1-1,2,1.0,0.25,0.6320754716981132,0.6320754716981132,0.6666666666666666,0.5283018867924528,0.5894736842105263,0.6280701754385964
factors_finance,1,11,2,text_only,418,104,1-1,2,1.0,,0.6826923076923077,0.6826923076923077,0.6938775510204082,0.6538461538461539,0.6732673267326733,0.6824280558897011
factors_finance,1,11,2,emotion_aware,418,104,1-1,2,1.0,0.05,0.6442307692307693,0.6442307692307692,0.6595744680851063,0.5961538461538461,0.6262626262626263,0.6434065424891113
factors_finance,1,11,3,text_only,418,104,1-2,1,1.0,,0.7307692307692307,0.7307692307692308,0.7142857142857143,0.7692307692307693,0.7407407407407407,0.7303703703703703
factors_finance,1,11,3,emotion_aware,418,104,1-2,2,10.0,0.1,0.6730769230769231,0.6730769230769231,0.6666666666666666,0.6923076923076923,0.6792452830188679,0.6729559748427673
factors_finance,1,11,4,text_only,418,104,1-2,1,1.0,,0.5576923076923077,0.5576923076923077,0.5652173913043478,0.5,0.5306122448979592,0.5562152133580704
factors_finance,1,11,4,emotion_aware,418,104,1-2,1,1.0,0.25,0.5384615384615384,0.5384615384615384,0.5434782608695652,0.4807692307692308,0.5102040816326531,0.5369202226345083
