dataset,repetition,outer_seed,outer_fold,model,train_rows,test_rows,classifier,representation,C,affect_weight,accuracy,balanced_accuracy,precision,recall,f1,macro_f1
factors_finance,2,22,1,text_only,416,106,logistic_regression,word_char,1.0,,0.6698113207547169,0.6698113207547169,0.7142857142857143,0.5660377358490566,0.631578947368421,0.6662168241115609
factors_finance,2,22,1,emotion_aware,416,106,linear_svm,word_char,1.0,0.1,0.6226415094339622,0.6226415094339622,0.6444444444444445,0.5471698113207547,0.5918367346938775,0.6204797708557107
factors_finance,2,22,2,text_only,418,104,linear_svm,word_char,1.0,,0.6153846153846154,0.6153846153846154,0.6,0.6923076923076923,0.6428571428571429,0.6130952380952381
factors_finance,2,22,2,emotion_aware,418,104,linear_svm,word_char,1.0,0.1,0.6538461538461539,0.6538461538461539,0.6379310344827587,0.7115384615384616,0.6727272727272727,0.6526901669758813
factors_finance,2,22,3,text_only,418,104,linear_svm,word_char,10.0,,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.6538461538461539
factors_finance,2,22,3,emotion_aware,418,104,linear_svm,word,0.1,0.05,0.6346153846153846,0.6346153846153846,0.64,0.6153846153846154,0.6274509803921569,0.6344802071772104
factors_finance,2,22,4,text_only,418,104,logistic_regression,word,0.1,,0.5673076923076923,0.5673076923076923,0.5777777777777777,0.5,0.5360824742268041,0.5653385344106994
factors_finance,2,22,4,emotion_aware,418,104,logistic_regression,word,1.0,0.1,0.6153846153846154,0.6153846153846154,0.6428571428571429,0.5192307692307693,0.574468085106383,0.6117954460619635
factors_finance,2,22,5,text_only,418,104,linear_svm,word_char,0.1,,0.5961538461538461,0.5961538461538461,0.5806451612903226,0.6923076923076923,0.631578947368421,0.5923852183650615
factors_finance,2,22,5,emotion_aware,418,104,logistic_regression,word_char,1.0,1.0,0.6442307692307693,0.6442307692307693,0.6530612244897959,0.6153846153846154,0.6336633663366337,0.6439344869066346
factors_finance,3,33,1,text_only,416,106,logistic_regression,word_char,0.1,,0.6320754716981132,0.6320754716981132,0.64,0.6037735849056604,0.6213592233009708,0.631780529081678
factors_finance,3,33,1,emotion_aware,416,106,linear_svm,word_char,0.1,0.25,0.6226415094339622,0.6226415094339622,0.6382978723404256,0.5660377358490566,0.6,0.6214285714285714
factors_finance,3,33,2,text_only,418,104,logistic_regression,word_char,0.1,,0.6346153846153846,0.6346153846153846,0.64,0.6153846153846154,0.6274509803921569,0.6344802071772104
factors_finance,3,33,2,emotion_aware,418,104,linear_svm,word,0.1,0.5,0.5961538461538461,0.5961538461538461,0.5925925925925926,0.6153846153846154,0.6037735849056604,0.5960044395116537
factors_finance,3,33,3,text_only,418,104,logistic_regression,word_char,1.0,,0.5865384615384616,0.5865384615384615,0.5849056603773585,0.5961538461538461,0.5904761904761905,0.5865002311604253
factors_finance,3,33,3,emotion_aware,418,104,logistic_regression,word_char,1.0,0.5,0.6057692307692307,0.6057692307692308,0.6037735849056604,0.6153846153846154,0.6095238095238096,0.6057327785483125
factors_finance,3,33,4,text_only,418,104,logistic_regression,word_char,0.1,,0.5576923076923077,0.5576923076923077,0.5652173913043478,0.5,0.5306122448979592,0.5562152133580704
factors_finance,3,33,4,emotion_aware,418,104,logistic_regression,word_char,0.1,0.05,0.5865384615384616,0.5865384615384616,0.6,0.5192307692307693,0.5567010309278351,0.5846568217702238
factors_finance,3,33,5,text_only,418,104,linear_svm,word_char,0.1,,0.6057692307692307,0.6057692307692307,0.6122448979591837,0.5769230769230769,0.594059405940594,0.605440917923568
factors_finance,3,33,5,emotion_aware,418,104,logistic_regression,word_char,0.1,0.25,0.6826923076923077,0.6826923076923077,0.7111111111111111,0.6153846153846154,0.6597938144329897,0.6812482585678462
factors_finance,4,44,1,text_only,416,106,logistic_regression,word_char,0.1,,0.6037735849056604,0.6037735849056604,0.6078431372549019,0.5849056603773585,0.5961538461538461,0.6036324786324787
factors_finance,4,44,1,emotion_aware,416,106,logistic_regression,word_char,10.0,0.25,0.6509433962264151,0.6509433962264151,0.6481481481481481,0.660377358490566,0.6542056074766355,0.6509123275478416
factors_finance,4,44,2,text_only,418,104,logistic_regression,word_char,10.0,,0.5865384615384616,0.5865384615384616,0.5818181818181818,0.6153846153846154,0.5981308411214953,0.5861941334320347
factors_finance,4,44,2,emotion_aware,418,104,logistic_regression,word_char,1.0,0.1,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154
factors_finance,4,44,3,text_only,418,104,linear_svm,word_char,0.1,,0.6057692307692307,0.6057692307692308,0.5873015873015873,0.7115384615384616,0.6434782608695652,0.6013090229079008
factors_finance,4,44,3,emotion_aware,418,104,linear_svm,word_char,0.1,0.5,0.6538461538461539,0.6538461538461539,0.6379310344827587,0.7115384615384616,0.6727272727272727,0.6526901669758813
factors_finance,4,44,4,text_only,418,104,logistic_regression,word_char,0.1,,0.625,0.625,0.6382978723404256,0.5769230769230769,0.6060606060606061,0.6241312204614957
factors_finance,4,44,4,emotion_aware,418,104,linear_svm,word_char,0.1,0.25,0.6538461538461539,0.6538461538461539,0.6739130434782609,0.5961538461538461,0.6326530612244898,0.6526901669758813
factors_finance,4,44,5,text_only,418,104,linear_svm,word,0.1,,0.6442307692307693,0.6442307692307692,0.6666666666666666,0.5769230769230769,0.6185567010309279,0.6426116838487972
factors_finance,4,44,5,emotion_aware,418,104,logistic_regression,word_char,1.0,0.5,0.6730769230769231,0.6730769230769231,0.6956521739130435,0.6153846153846154,0.6530612244897959,0.6719851576994433
factors_finance,5,55,1,text_only,416,106,logistic_regression,word,1.0,,0.5188679245283019,0.5188679245283019,0.5192307692307693,0.5094339622641509,0.5142857142857142,0.5188251001335114
factors_finance,5,55,1,emotion_aware,416,106,logistic_regression,word_char,1.0,0.25,0.5566037735849056,0.5566037735849056,0.5652173913043478,0.49056603773584906,0.5252525252525253,0.5546616608563512
factors_finance,5,55,2,text_only,418,104,logistic_regression,word,1.0,,0.5865384615384616,0.5865384615384616,0.5818181818181818,0.6153846153846154,0.5981308411214953,0.5861941334320347
factors_finance,5,55,2,emotion_aware,418,104,logistic_regression,word,1.0,0.1,0.5961538461538461,0.5961538461538461,0.5961538461538461,0.5961538461538461,0.5961538461538461,0.5961538461538461
