dataset,repetition,seed,fold,classifier,representation,C,affect_weight,model_variant,accuracy,balanced_accuracy,precision,recall,f1,macro_f1
liar2_finance,1,11,2,logistic_regression,word_char,0.1,0.1,emotion_aware,0.6439024390243903,0.6439024390243903,0.642512077294686,0.6487804878048781,0.6456310679611651,0.6438939653531316
liar2_finance,1,11,2,logistic_regression,word_char,0.1,0.25,emotion_aware,0.6536585365853659,0.6536585365853659,0.6521739130434783,0.6585365853658537,0.6553398058252428,0.6536502950694841
liar2_finance,1,11,2,logistic_regression,word_char,0.1,0.5,emotion_aware,0.651219512195122,0.651219512195122,0.6519607843137255,0.6487804878048781,0.6503667481662592,0.6512174373434703
liar2_finance,1,11,2,logistic_regression,word_char,0.1,1.0,emotion_aware,0.6414634146341464,0.6414634146341464,0.6435643564356436,0.6341463414634146,0.6388206388206388,0.641444217715404
liar2_finance,1,11,2,logistic_regression,word_char,1.0,0.0,text_only,0.6414634146341464,0.6414634146341464,0.6407766990291263,0.6439024390243903,0.6423357664233577,0.6414612817446861
liar2_finance,1,11,2,logistic_regression,word_char,1.0,0.05,emotion_aware,0.6439024390243903,0.6439024390243903,0.6411483253588517,0.6536585365853659,0.6473429951690821,0.6438685419195165
liar2_finance,1,11,2,logistic_regression,word_char,1.0,0.1,emotion_aware,0.6439024390243903,0.6439024390243903,0.642512077294686,0.6487804878048781,0.6456310679611651,0.6438939653531316
liar2_finance,1,11,2,logistic_regression,word_char,1.0,0.25,emotion_aware,0.6560975609756098,0.6560975609756098,0.6538461538461539,0.6634146341463415,0.6585956416464891,0.6560791476045713
liar2_finance,1,11,2,logistic_regression,word_char,1.0,0.5,emotion_aware,0.6585365853658537,0.6585365853658537,0.6570048309178744,0.6634146341463415,0.6601941747572816,0.6585284599276604
liar2_finance,1,11,2,logistic_regression,word_char,1.0,1.0,emotion_aware,0.6585365853658537,0.6585365853658537,0.6570048309178744,0.6634146341463415,0.6601941747572816,0.6585284599276604
liar2_finance,1,11,2,logistic_regression,word_char,10.0,0.0,text_only,0.6414634146341464,0.6414634146341464,0.6394230769230769,0.6487804878048781,0.6440677966101694,0.641444217715404
liar2_finance,1,11,2,logistic_regression,word_char,10.0,0.05,emotion_aware,0.6317073170731707,0.6317073170731707,0.6273584905660378,0.6487804878048781,0.6378896882494005,0.6315999309733356
liar2_finance,1,11,2,logistic_regression,word_char,10.0,0.1,emotion_aware,0.6439024390243903,0.6439024390243903,0.6411483253588517,0.6536585365853659,0.6473429951690821,0.6438685419195165
liar2_finance,1,11,2,logistic_regression,word_char,10.0,0.25,emotion_aware,0.6390243902439025,0.6390243902439025,0.6390243902439025,0.6390243902439025,0.6390243902439025,0.6390243902439025
liar2_finance,1,11,2,logistic_regression,word_char,10.0,0.5,emotion_aware,0.6414634146341464,0.6414634146341464,0.6407766990291263,0.6439024390243903,0.6423357664233577,0.6414612817446861
liar2_finance,1,11,2,logistic_regression,word_char,10.0,1.0,emotion_aware,0.6414634146341464,0.6414634146341464,0.6407766990291263,0.6439024390243903,0.6423357664233577,0.6414612817446861
liar2_finance,1,11,2,linear_svm,word,0.1,0.0,text_only,0.624390243902439,0.624390243902439,0.6231884057971014,0.6292682926829268,0.6262135922330098,0.6243813059204264
liar2_finance,1,11,2,linear_svm,word,0.1,0.05,emotion_aware,0.6219512195121951,0.6219512195121951,0.6225490196078431,0.6195121951219512,0.6210268948655256,0.6219489705471181
liar2_finance,1,11,2,linear_svm,word,0.1,0.1,emotion_aware,0.6390243902439025,0.6390243902439025,0.6417910447761194,0.6292682926829268,0.6354679802955665,0.6389900287951262
liar2_finance,1,11,2,linear_svm,word,0.1,0.25,emotion_aware,0.6365853658536585,0.6365853658536585,0.6359223300970874,0.6390243902439025,0.6374695863746959,0.6365832039452941
liar2_finance,1,11,2,linear_svm,word,0.1,0.5,emotion_aware,0.6219512195121951,0.6219512195121951,0.6213592233009708,0.624390243902439,0.6228710462287105,0.6219489705471181
liar2_finance,1,11,2,linear_svm,word,0.1,1.0,emotion_aware,0.624390243902439,0.624390243902439,0.6231884057971014,0.6292682926829268,0.6262135922330098,0.6243813059204264
liar2_finance,1,11,2,linear_svm,word,1.0,0.0,text_only,0.6121951219512195,0.6121951219512195,0.6074766355140186,0.6341463414634146,0.6205250596658711,0.61200816574316
liar2_finance,1,11,2,linear_svm,word,1.0,0.05,emotion_aware,0.624390243902439,0.624390243902439,0.6197183098591549,0.6439024390243903,0.631578947368421,0.6242471851269966
liar2_finance,1,11,2,linear_svm,word,1.0,0.1,emotion_aware,0.624390243902439,0.624390243902439,0.6220095693779905,0.6341463414634146,0.6280193236714976,0.6243544894219557
liar2_finance,1,11,2,linear_svm,word,1.0,0.25,emotion_aware,0.624390243902439,0.624390243902439,0.6231884057971014,0.6292682926829268,0.6262135922330098,0.6243813059204264
liar2_finance,1,11,2,linear_svm,word,1.0,0.5,emotion_aware,0.624390243902439,0.624390243902439,0.6231884057971014,0.6292682926829268,0.6262135922330098,0.6243813059204264
liar2_finance,1,11,2,linear_svm,word,1.0,1.0,emotion_aware,0.624390243902439,0.624390243902439,0.6231884057971014,0.6292682926829268,0.6262135922330098,0.6243813059204264
liar2_finance,1,11,2,linear_svm,word,10.0,0.0,text_only,0.5975609756097561,0.5975609756097561,0.5943396226415094,0.6146341463414634,0.60431654676259,0.5974436331827838
liar2_finance,1,11,2,linear_svm,word,10.0,0.05,emotion_aware,0.5926829268292683,0.5926829268292683,0.589622641509434,0.6097560975609756,0.5995203836930456,0.5925641620698479
liar2_finance,1,11,2,linear_svm,word,10.0,0.1,emotion_aware,0.5878048780487805,0.5878048780487805,0.5849056603773585,0.6048780487804878,0.5947242206235012,0.5876846909569119
liar2_finance,1,11,2,linear_svm,word,10.0,0.25,emotion_aware,0.5902439024390244,0.5902439024390244,0.5868544600938967,0.6097560975609756,0.5980861244019139,0.5900878383203599
liar2_finance,1,11,2,linear_svm,word,10.0,0.5,emotion_aware,0.5926829268292683,0.5926829268292683,0.589622641509434,0.6097560975609756,0.5995203836930456,0.5925641620698479
liar2_finance,1,11,2,linear_svm,word,10.0,1.0,emotion_aware,0.5926829268292683,0.5926829268292683,0.589622641509434,0.6097560975609756,0.5995203836930456,0.5925641620698479
liar2_finance,1,11,2,linear_svm,word_char,0.1,0.0,text_only,0.6414634146341464,0.6414634146341464,0.6407766990291263,0.6439024390243903,0.6423357664233577,0.6414612817446861
liar2_finance,1,11,2,linear_svm,word_char,0.1,0.05,emotion_aware,0.6439024390243903,0.6439024390243903,0.6411483253588517,0.6536585365853659,0.6473429951690821,0.6438685419195165
