dataset,repetition,outer_seed,outer_fold,model,parameter_index,ngram_range,min_df,C,inner_macro_f1,inner_balanced_accuracy,selected
liar2_finance,2,22,5,text_only,4,1-1,2,0.1,0.6457210378510061,0.6457317073170732,False
liar2_finance,2,22,5,text_only,5,1-1,2,1.0,0.6426781441155518,0.6426829268292683,False
liar2_finance,2,22,5,text_only,6,1-1,2,10.0,0.6132673950820062,0.6134146341463415,False
liar2_finance,2,22,5,text_only,7,1-2,1,0.1,0.6508950169327528,0.651219512195122,True
liar2_finance,2,22,5,text_only,8,1-2,1,1.0,0.6473296733878109,0.6475609756097561,False
liar2_finance,2,22,5,text_only,9,1-2,1,10.0,0.6505150302859453,0.650609756097561,False
liar2_finance,2,22,5,text_only,10,1-2,2,0.1,0.6493682120864971,0.649390243902439,False
liar2_finance,2,22,5,text_only,11,1-2,2,1.0,0.6469353358029566,0.6469512195121951,False
liar2_finance,2,22,5,text_only,12,1-2,2,10.0,0.629861396947141,0.6298780487804878,False
liar2_finance,2,22,5,emotion_aware,1,1-1,1,0.1,0.6106953845421154,0.6109756097560975,False
liar2_finance,2,22,5,emotion_aware,2,1-1,1,1.0,0.6548759956930142,0.6548780487804878,False
liar2_finance,2,22,5,emotion_aware,3,1-1,1,10.0,0.6329262833525927,0.6329268292682927,False
liar2_finance,2,22,5,emotion_aware,4,1-1,2,0.1,0.618017728406527,0.6182926829268293,False
liar2_finance,2,22,5,emotion_aware,5,1-1,2,1.0,0.6463414634146342,0.6463414634146342,False
liar2_finance,2,22,5,emotion_aware,6,1-1,2,10.0,0.623027208455331,0.6231707317073171,False
liar2_finance,2,22,5,emotion_aware,7,1-2,1,0.1,0.5989714123651597,0.599390243902439,False
liar2_finance,2,22,5,emotion_aware,8,1-2,1,1.0,0.6539068353288365,0.6542682926829269,False
liar2_finance,2,22,5,emotion_aware,9,1-2,1,10.0,0.6577882701614388,0.6579268292682927,True
liar2_finance,2,22,5,emotion_aware,10,1-2,2,0.1,0.6064109838795196,0.6067073170731707,False
liar2_finance,2,22,5,emotion_aware,11,1-2,2,1.0,0.6560356637645977,0.6560975609756098,False
liar2_finance,2,22,5,emotion_aware,12,1-2,2,10.0,0.6341196785607517,0.6341463414634146,False
liar2_finance,3,33,1,text_only,1,1-1,1,0.1,0.6422125043052227,0.6422466422466422,False
liar2_finance,3,33,1,text_only,2,1-1,1,1.0,0.6379427758637464,0.6379731379731379,False
liar2_finance,3,33,1,text_only,3,1-1,1,10.0,0.6225479960386116,0.6227106227106227,False
liar2_finance,3,33,1,text_only,4,1-1,2,0.1,0.6361394663044888,0.6361416361416361,False
liar2_finance,3,33,1,text_only,5,1-1,2,1.0,0.6342936416736522,0.6343101343101343,False
liar2_finance,3,33,1,text_only,6,1-1,2,10.0,0.6153639718215365,0.6153846153846154,False
liar2_finance,3,33,1,text_only,7,1-2,1,0.1,0.6413654658918866,0.6416361416361416,False
liar2_finance,3,33,1,text_only,8,1-2,1,1.0,0.6450545372492489,0.6452991452991452,True
liar2_finance,3,33,1,text_only,9,1-2,1,10.0,0.6433315187806206,0.6434676434676434,False
liar2_finance,3,33,1,text_only,10,1-2,2,0.1,0.6360499379652605,0.6361416361416361,False
liar2_finance,3,33,1,text_only,11,1-2,2,1.0,0.6403313576290655,0.6404151404151404,False
liar2_finance,3,33,1,text_only,12,1-2,2,10.0,0.6324589064072459,0.6324786324786325,False
liar2_finance,3,33,1,emotion_aware,1,1-1,1,0.1,0.6193174548046867,0.6196581196581197,False
liar2_finance,3,33,1,emotion_aware,2,1-1,1,1.0,0.6486477311600238,0.648962148962149,False
liar2_finance,3,33,1,emotion_aware,3,1-1,1,10.0,0.6279720425768537,0.6282051282051282,False
liar2_finance,3,33,1,emotion_aware,4,1-1,2,0.1,0.6211643053783656,0.6214896214896215,False
liar2_finance,3,33,1,emotion_aware,5,1-1,2,1.0,0.646393493415379,0.6465201465201464,False
liar2_finance,3,33,1,emotion_aware,6,1-1,2,10.0,0.6214331830835549,0.6214896214896215,False
liar2_finance,3,33,1,emotion_aware,7,1-2,1,0.1,0.6051215070456174,0.6056166056166057,False
liar2_finance,3,33,1,emotion_aware,8,1-2,1,1.0,0.6475524475524476,0.6483516483516483,False
liar2_finance,3,33,1,emotion_aware,9,1-2,1,10.0,0.6433480081606356,0.6434676434676434,False
liar2_finance,3,33,1,emotion_aware,10,1-2,2,0.1,0.6137438211906296,0.6141636141636142,False
liar2_finance,3,33,1,emotion_aware,11,1-2,2,1.0,0.6518070114460717,0.652014652014652,True
liar2_finance,3,33,1,emotion_aware,12,1-2,2,10.0,0.6477252608442359,0.6477411477411478,False
liar2_finance,3,33,2,text_only,1,1-1,1,0.1,0.6239176069273157,0.6239316239316239,False
liar2_finance,3,33,2,text_only,2,1-1,1,1.0,0.6245408651023934,0.6245421245421245,False
liar2_finance,3,33,2,text_only,3,1-1,1,10.0,0.6183857727506381,0.6184371184371185,False
liar2_finance,3,33,2,text_only,4,1-1,2,0.1,0.6306403850920334,0.6306471306471306,False
liar2_finance,3,33,2,text_only,5,1-1,2,1.0,0.6367455026938179,0.6367521367521367,False
liar2_finance,3,33,2,text_only,6,1-1,2,10.0,0.6097992148131965,0.6098901098901099,False
liar2_finance,3,33,2,text_only,7,1-2,1,0.1,0.6239499570519695,0.6245421245421245,False
